author,date,description,tags,title
Vinicius Gubiani Ferreira,July 2021,Most people heard at least once or focused really hard on studying design patterns. But did you know there are also lots of anti-patterns we should try to avoid?,"Best Practice,Clean Code,Python general,Software Design,python",Python Anti-Patterns
Rodrigo Girão Serrão,July 2021,"EDIT: Talk slides available at ,; you can reach out to me with comments/questions on Twitter @mathsppblog or through email at rodrigo at mathspp dot com.","Abstractions,Best Practice,Clean Code,Python Skills,Python general",Pydon'ts
Utkarsh Mishra,July 2021,"A photo is an image that represents an external form of a person or a thing from the past. It communicates any past incident or activity to the present or future, reminding them of the melodious memories they have.","APIs,Computer Vision,Deep Learning,Image Processing,Machine-Learning",Python and Flutter application for Colouring and Enhancing Old Photos
James Nightingale,July 2021,"A major trend in data science is the rapid adoption of Bayesian statistics for data analysis and modeling. With modern data-sets growing by orders of magnitude in size, the focus is now on developing methods capable of applying contemporary inference techniques to extremely large datasets. To this aim, I present PyAutoFit (,), an open-source probabilistic programming language for automated Bayesian inference that was recently published in the Journal of Open Source Software (,).","Big Data,Data Science,Open-Source,Science",PyAutoFit: A Classy Probabilistic Programming Language For Data Science
Oliver Cobb,July 2021,"Deployed machine learning models can fail spectacularly in response to seemingly benign changes to the underlying process being modelled. Concerningly, when labels are not available, as is often the case in deployment settings, this failure can occur silently and go unnoticed.","Beginners,Data Science,Deep Learning,Machine-Learning,failures/mistakes",Protecting Your Machine Learning Against Drift: An Introduction
Alejandro Saucedo,July 2021,# Session Description,"Best Practice,Data Science,DevOps general,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)","Production ML Monitoring: Outliers, Drift, Explainers & Statistical Performance"
Sylvain Marié,July 2021,"`pytest` is undoubtedly the most popular test framework for python. Its fixture and parametrization mechanisms, as well as its detailed hook API and vibrant plugin ecosystem make it a must-know for any developer wishing to create quality software. Some key limitations in its engine and API, however, prevent users from truly unleashing their testing scenarii. Creating tests with complex parametrization is complicated, and users trying to explore this direction may loose the legendary elegance and maintainability of pytest tests on the way.","Data,Data Science,Science,Test Libraries (pytest/nose/...),Testing",Powerful tests and reproducible benchmarks with `pytest-cases`
Eli Holderness,July 2021,"Ever wondered about the difference between `is` and `==`, or why you might need to use `deepcopy`? Maybe you’ve been stumped by an interview question about object lifetimes, or overriding the `__eq__` method. Or, perhaps, you just really want to see some tuples behaving badly. ","Abstractions,Beginners,CPython,Compiler and Interpreters,Python general",Pointers? In my Python? It's more likely than you think
Yashasvi Misra,July 2021,"I owe both my personal and professional growth to communities. As an engineering student in computer science, the first open tech community I joined was PyLadies. I have since then been actively involved in the Python community, always trying to learn and grow. Little did I expect how beneficial that would be. In this session, I will share my journey with the Python community, the impact it had on me, and how it boosted my self-confidence. If you don’t know where to start, join me to explore what I have learned so far.","Beginners,Community,Diversity,PyLadies,python",Personal growth and the Python community
Daniel Moisset,July 2021,"When Python 3.10 comes out in October 2021, it will include a new feature called “Structural Pattern Matching”. Structural Pattern Matching has been a staple of functional programming languages, but it has recently appeared or been proposed as future additions to imperative and OOP programming languages (like JavaScript, C++, and Rust). It provides an elegant way of processing and deconstructing heterogeneous data structures, and it enables an alternative paradigm to method dispatch.","CPython,Functional Programming,New Features,Python general",Pattern Matching in Python
David Bordeynik,July 2021,"FastAPI is the new kid on python’s web frameworks block.,Don’t let its novelty fool you - it is feature packed and it has top notch documentation.,In this talk, we’ll build an application using FastAPI - leveraging our knowledge from existing frameworks. We’ll see how the “fast” FastAPI is for fast development.","APIs,ASYNC / Concurreny,Best Practice,Development,Web",Moving Fast with FastAPI
Itamar Turner-Trauring,July 2021,"If your program is using too much memory, it can crash, thrash, or just run more slowly. To reduce memory usage, you need to measure it somehow.","Data,Debugging,Performance",Measuring memory: Python memory profilers and when to use them
Nabanita Roy,July 2021,"Wikipedia is the digital encyclopedia that we use daily to find out facts and information. What could be better than being able to extract the extreme wealth of crowd-sourced knowledge from Wikipedia without using traditional web scrapers? Various community-driven projects extract knowledge from Wikipedia and stores them structurally, retrievable using SPARQL. It can be used to mine data for a range of Data Science projects. In this talk, I will walk through the basics of the Open Web and how to use Python to use this huge open database.,The agenda includes the following:,•	Why Wikipedia?,•      Introduction to DBpedia and Wikidata,•      Introduction to Linked Data,•      How to query DBpedia/WikiData,      o	Build SPARQL Query,      o	Use Python’s SPARQLWrapper,•	Python Code Walkthrough to create,      o	A Tabular Dataset using SPARQL,      o	A Corpus for Language Models using Wikipedia and BeautifulSoup,      o	An Use-Case leveraging both SPARQLWrapper and Wikipedia to Create Domain-Specific Corpus ","Case Study,Data Science,Databases,Natural Language Processing,Web",Leveraging Linked Data using Python and SPARQL
Matteo Bertucci,July 2021,This talk is divided in two parts: the first one will explore how the Git key-value storage work and the second part will walk through recreating the fundamental `git commit` command with less than 80 lines of Python.,"Beginners,Best Practice,Case Study,Command-Line,Git",Learn Python automation by recreating Git Commit from scratch
Joel Christiansen,July 2021,"Python packaging has come a long way since the days of easy_install and eggs. With the advent of wheels, and more recently pyproject.toml and PEPs 518, 517, and 621, the future looks bright for the world of python build tool. I will briefly explore the history of python packaging, and look at how we can take advantage of these developments to increase reliability and safety in python build tools.","Best Practice,Packaging,python",Managing transient dependencies
Kir Chou,July 2021,"Detailed description,In late 2019, Guido van Rossum wrote a series of articles about PEG parser and gave the talk ""Writing a PEG parser for fun and profit"" in a couple of conferences, such as North Bay Python, mentioned the motivation of his research and prototype of PEG parser. In late 2020, other authors of PEP 617, Pablo Galindo and Lysandros Nikolaou, (created around mid of 2020) were interviewed on Podcast.__init__ to talk about the result of the new PEG parser in CPython.,Above contents assume the audience with solid compiler fundamental knowledge, but the fact is most People, including this talk's speaker, are not specialized in compiler. And another fact is most of the compiler class in school around the world only covers traditional top-down and bottom-up parsing techniques, not to mention PEG parser that appeared in the early 2000s.,For the above reasons, the speaker will stand on the shoulders of giants and share his hard way after a few months of study. He will talk about the fundamentals of Parser (part of compiler frontend), including CFG, traditional parsing techniques, PEG, Packrat parser, and PEG parser in CPython.","CPython,Compiler and Interpreters,Python 3",Learn from LL(1) to PEG parser the hard way
Cristián Maureira-Fredes,July 2021,"One of the main reasons that stop people to write Python C extensions                               ,and even attempt to contribute to CPython is due to the fact that                                   ,you need to know another programming language, C.                                                   ,                                                                                                                                                                                                                                             ,Wait, don't go! don't be scared by the fact that you will hear                                      ,about C, this talks objective is not that! but only to learn                                        ,the essential bits to get more comfortable around CPython.                                          ,                                                                                                    ,By understanding the internals, you will feel like the same as that time                            ,in your childhood when you took something apart, then re-assemble it                                ,again and it worked (if that was not the case, this will be your first time                         ,I promise).                                                                                         ,                                                                                                    ,During this talk, you will go on a journey to understand how Python works,                          ,and which are the places you can look to understand the implementation of                           ,different Python details, from the whole interpretation process, until                              ,look what's lies under the module/types functions you use everyday.                                 ,You will get the power to add new functionality to Python and even how to                           ,create your first C-based extension module.                                                         ,                                                                                                    ,If you are not familiar with C, don't worry, I will guide you every time                            ,some C code is shown, and if you know some C, then you will be able                                 ,to sit back and relax during this ride.","C-Languages,CPython,Compiler and Interpreters,Data Structures,Fun and Humor",Learn CPython by breaking it
Abhilash Majumder,July 2021,"Introduction to Quantum Deep Learning,Abstract,The aim of the lightning talk is to shed light into the field of Quantum computation in the field of Deep Learning. Qubits , which form the fundamental units of quantum computing can be used to create quantum variational circuits which can be placed over traditional deep learning networks to create hybrid quantum-deep learning models. These models not only rely on the gradient convergence properties of general backpropagation technique, but also on the final probabilistic states of the Qubits. Essentially there has been quite a development to optimize the gradient convergence of these hybrid models with the help of Fischer approximation and Natural Gradient Descent.The talk would focus on the importance of Quantum Variational Deep Learning Circuits and how they provide an advantage over traditional Autograd based Circuits. The application of Quantum Variational circuits in the field of Reinforcement Learning as well as NLP would be one of the main points of the talk. There has been sufficient development in the field of quantum computing and this talk aims to throw light on how to exploit the probabilistic states of Qubits to enhance deep learning models.","Deep Learning,Generative Adversarial Networks,Machine-Learning,Natural Language Processing,python",Introduction to Quantum Deep Learning
Sebastiaan Zeeff,July 2021,"With the increasing popularity of asynchronous frameworks, such as FastAPI, communicating asychronously with databases has become a hot topic in Python development. While there were already a lot of database drivers with asynchronous support available, support for asynchio in Object-Relation Mapping (ORM) frameworks was a lot rarer. That is, until the release of version 1.4 of SQLAlchemy back in March of 2021, which added support for Asynchronous I/O to one of the most popular ORM frameworks for Python.","ASYNC / Concurreny,Databases,Python 3,SQL Alchemy,Tooling",Introducing Asynchronous SQLAlchemy
Ben Nuttall,July 2021,"In BBC News Labs, we're always looking for ways to innovate without requiring production teams to change their workflows. We investigated ways we could enrich our digital output by extracting detailed information about the contents of our TV and radio programmes from their running orders.","Abstractions,Open-Source,Public Cloud,python",Innovation in the newsroom
Riya,July 2021,"What is a web scraping and why should you learn how to do it?, ,I will talk about what it means to scrape data from the web and what is wrong with go-to copy-paste techniques. This will also cover various benefits of web-scraping, not only for work, but also how it can help to make your life simpler: using it for job-searching, product price monitoring, and collecting data to train ML models., ,This talk will first cover the basics like using CSS Selectors for parsing data., ,I will cover how to use developer tools to look for a tag, class, or id to target the required data., ,I will also go through some basics of Regex which can be very useful in targeting required data., ,After building up the base for web-scraping, I’ll show you some of the major tools including requests, BeautifulSoup, Selenium, Scrapy in an interactive manner, where you can follow along, as we build up from the most user-friendly tools like requests and BeautifulSoup to more specialized tools.,We’ll go a step further in this process and take a brief look at more complex topics. I  will cover the problems that you will come across while scraping, such as asynchronous loading and client-side rendering, authentication, redirects, captchas, etc, and their possible workarounds. Finally, I’ll show how to automate web-scraping tasks using cron (Linux) and Task Scheduler (Windows)., ,You’ll leave the talk with a good understanding of the techniques of web scraping, and a library of useful tools you can use to write your own scrapers.","Command-Line,HTML5,Linux,Python 3,Web Crawling",Improved web scraping with Python tools and Bash utilities.
Marcin Wojnarski,July 2021,"HYPERTAG (,) is a full-featured standalone language for HTML templating and document generation. Inspired by indentation-based template languages (Slim, Haml, Shpaml, Pug), it provides clean, readable syntax and multiple original features that enhance code reuse and modularity: native custom tags, DOM manipulation, Python-like granular imports, control blocks, compound expressions, and more.","Clean Code,Django,Templating,Web,Web General",Hypertag: an Indented Language for easy HTML Generation & Web Templating
Joost Lek,July 2021,"Open source code is the foundation for a lot of my own work, but of course also the work of others. And the beauty of open source is you never know where your contributions end up. This story begins in the summer of 2019 when I wanted to see if I could contribute to the python project I’ve been using so much. In this talk I’ll walk you through the challenges I faced making my first contribution to cpython, picking a bug and squashing it. I’ll end the talk explaining the title: after viewing the 2020  mars helicopter fly on the red planet I realized I have a new badge on my github page. I never started out thinking I could have my code flying in space, let alone flying on mars. But it does. I hope to inspire others to step over the hurdle and contribute back to the open source tools they use.","Development,Open-Source,python",How I helped fly a helicopter on Mars
"Chiin-Rui Tan,Sara Nunnington",July 2021,"In the ultra-competitive sporting world, the value of data and computing has been on the rise. When the difference between winning and losing, success and failure hinges on the smallest of margins, being able to calculate and implement optimal, timely decisions is literally game-changing, and potentially life-changing.","Computer Vision,Data Science,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...),Visualization",How Scientific Computing is advancing the world of Football
Mar Bartolome,July 2021,"It's no secret that the hardest problems in computer science are cache invalidation and naming things... oh, and hiring.","Diversity,Job Hunting,Management,Workforce",Hiring Demystified
Harshit Prasad,July 2021,"In the current technology era, all kind of applications work on data. Data is used to represent a set of information. The healthcare apps, e-commerce apps etc works on data. Sometimes, this data needs to be get updated to reflect new changes across the platform. This action can be performed manually but what if platform data is getting updated in realtime or let’s say in every 1 hour? Such kind of problem can be solved by implementing a service based on Producer Consumer model.","E-Commerce,Elastic Search,Engineering,EuroPython,Messaging and Job Queues (RabbitMQ/Redis/...)","High Performance Data Processing with Python, Kafka and Elasticsearch"
Paolo Melchiorre,July 2021,"Every time we’re going to create a new project with Django we make assessments on its requirements to choose the best architecture, of which, the database is usually the core.","Best Practice,Databases,Django,PostgreSQL",Django with PostgreSQL superpowers
"Maria Jose Molina-Contreras, PhD",July 2021,"For many years, people have been filling their home with devices that are based on Microcontrollers, like virtual assistants, smart fridges, washing machines, security systems, and many others that can be either programmable, or even replicated with a couple of boards and our Python knowledge.,During this talk, we will start exploring CircuitPython without the need of a physical device, using a microcontroller emulator.  If you are new to the microcontroller world, don’t worry, we will have an introduction to the main concepts, so we have the base knowledge to start doing little experiments by ourselves.,After the introduction, you will be able to start programming microcontrollers using the emulator or in real life, moreover, you will see a couple of real projects (with real devices!) that could easily be replicated by yourself: a low-cost robot floor cleaner, and a plant watering and monitoring system, as examples.","DIY,Hardware/IoT",DIY Home Automation with Microcontrollers and CircuitPython
Abby Carey,July 2021,"Learn how to build Flask apps for Cloud Run, one of Google Cloud's serverless platforms. To accelerate the Cloud Run development loop, we'll be using Cloud Code, an IDE plugin that makes working with Cloud Run easy. We'll also cover how to integrate products like Cloud SQL, Pub/Sub, and Secret Manager.","Public Cloud,Web Servers and MicroFWs (Flask/Tornado/Nginx/...),python",Developing Flask Applications for Google Cloud
Eduardo Blancas,July 2021,** Description **,"Best Practice,Data Science,Deployment/Continuous Integration and Delivery,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)",Develop and deploy a Machine Learning pipeline in 30 minutes with Ploomber
Roberto Polli,July 2021,## Goal,"APIs,Case Study",Designing secure APIs
Chin Hwee Ong,July 2021,"When building data pipelines at scale, it is crucial to design data pipelines that are reliable, scalable and extensible according to evolving business needs. Designing data pipelines for reproducibility and maintainability is a challenge, as testing and debugging across compute units (threads/cores/computes) are often complex and time-consuming due to dependencies and shared states at runtime. In this talk, Chin Hwee will be sharing about common challenges in designing reproducible and maintainable data pipelines at scale, and exploring the use of functional programming in Python to build scalable production-ready data pipelines that are designed for reproducibility and maintainability. Through analogies and realistic examples inspired by data pipeline designs in production environments, you will learn about:","Data,Functional Programming,Python 3",Designing Functional Data Pipelines for Reproducibility and Maintainability
Bojan Miletic,July 2021,"While dependency injections is widely used in other programming languages, it's a design pattern that is nowhere near as popular in Python. During this talk I would like to introduce you to this concept and show you how it can improve your engineering skills.","Architecture,Best Practice,Python general,Software Design",Dependency Injection: Stealing Cool stuff from the Weird Kids
Prakshi Yadav,July 2021,"Designing a data lake necessitates well-researched storage, management, scalability, and availability solutions. However, managing schema evolution remains a difficult task. The structure of data differs from one company to the next, making it difficult to generalize a solution to the schema evolution problem.","Architecture,Best Practice,Big Data,Data,Public Cloud",Data lake: Design for schema evolution
"Gael Grosch,Francesco Lässig",July 2021,"Time series are everywhere in science and business, and the ability to forecast them accurately and efficiently can provide decisive advantages. For much of its history, time series forecasting has mostly been relying on ""classical"" statistical methods such as ARIMA. These methods work very well in many cases, but they are not appropriate for capturing patterns in large quantities of data. Very recently, some deep learning techniques have been proposed as a way to build very advanced and accurate models from large quantities of time series data. ","Data Science,Deep Learning,Machine-Learning,Open-Source,Python 3",Darts: Unifying time series forecasting models from ARIMA to Deep Learning
lil anonymous,July 2021,"Our generation of young people in school (aged 5-18) have noticed the connection between Computer pRogramming, Technology, Bitcoinsm Success and Billionaires. ","Beginners,Education,EuroPython,python",Creating the Next Generation of Billionaires-Part 3
Alexys Jacob,July 2021,In this talk I will walk you through all the steps needed to create and host feature rich and localized documentations (and even websites) using MkDocs + Github Pages.,"Community,Documentation,Internationalization,Open-Source,Tooling",Create beautiful and localized documentations and websites using MkDocs + Github
Anastasiia Tymoshchuk,July 2021,Do you document your code? Do you think it is important?,"Best Practice,Python general",Continuous Documentation for your code
Kautilya Katariya,July 2021,"Online teaching materials enable learning programming at any age. Kautilya, a 7-year-old programmer who has learned his way through multiple courses in Python and Artificial Intelligence, shares his takeaways and examples so that we can learn what he has learned about Computational Complexity., In this talk, he focuses on the time complexity in computational/algorithmic complexity. As he lays out the theoretical foundations of how we formally measure how fast a program or algorithm runs, he teaches us to analyse the amount of time our program creation choices have on how much time program will take to finish.","Algorithms,Data-Structures,Education,Programming,Python 3",Computational Complexity Theoretical Foundation on How Long Will Program Run
Kirill Borisov,July 2021,"This talk will be about using Hypothesis and tools derived from it to test existing Python linters and fixers. While it is possible to test them by using hand-crafted pieces of code, sheer expression power of Python makes it very hard to think about every corner case that can be encountered. Even mature, widely-used tools like black or (gasp!) Python parser still manage to get it wrong.","Code Analysis,Compiler and Interpreters,Python 3,Python Skills,python",Code From Nothing: Procedural Generation of Python Source Code
Pierre Clisson,July 2021,"Brain-Computer Interfaces (BCIs) enable people to interact with physical devices by using their mind only. For a long time, building such systems has been the prerogative of the academic world, and has required cumbersome tools and expensive hardware. It is now time to get BCIs out of the lab and into the hands of programmers.","Data Science,Human-Machine-Interaction,Machine-Learning,Open-Source,Scientific Libraries (Numpy/Pandas/SciKit/...)",Building Brain-Computer Interfaces with Timeflux
"Shruti Mishra,Sonal Deshmukh,Gourika Sood",July 2021,"The proposed project is both a web and a mobile application. The web application makes use of the Django framework for its structure and backend. The mobile application uses Flutter, which is a cross-platform for both iOS and Android. The basis of the application would mainly be concerned as use for Educational Institutes. ,The application also projects an important feature, that is, Smart Attendance System. The proposed system keeps track of attendance using barcodes. It uses openCV to scan the barcodes. System stores student attendance details and generates a brief report for the administrator. The libraries used for the project are: openpyxl, cv2, pyzbar, xlsxwriter.","Cross-Platform-Development,Databases,Django Projects,Python 3,Web",Building Application using Flutter and Django
Julian Camilleri,July 2021,"An introduction to how to write clean code (type hinting, docstrings, inline comments et cetera) and supporting the clean code with maintainable project structure and unit tests.","Best Practice,Clean Code,TDD,Teaching","Building a clean, maintainable and tested code base"
Gajendra Deshpande,July 2021,"A recent study by CheckPoint Research has recorded over 1,50,000 cyber-attacks every week during the COVID-19 pandemic. There has been an increase of 30% in cyber-attacks compared to previous weeks. The pandemic has been the main reason for job loss and pay cuts of people and has led to an increase in cybercrimes. Examples of cyber-attacks include phishing, ransomware, fake news, fake medicine, extortion, and insider frauds. Cyber forensics is a field that deals with the investigation of digital crimes by analyzing, examining, identifying, and recovering digital evidence from electronic devices and producing them in the court of law. Python has a great collection of built-in modules for digital forensics tasks. The talk begins with an introduction to digital crimes, digital forensics, the process of investigation, and the collection of evidence. Next, I will cover the various python modules and built-in functions required to build your first cyber forensic application. The modules covered in the discussion are pyscreenshot, PIL, secrets, argparse, hashlib, os,csv, logging, time, sys, stat and NLTK. Finally, I will demonstrate using code walk through the sample cyber forensic application.","Cryptography,Data Privacy,Natural Language Processing,Security",Build Your First Cyber Forensic Application using Python
Harsh Bardhan,July 2021,"With the rise of Serverless Applications, Developers now focus on developing the Code Logic and allow their Cloud Service Provider to focus on the deployment. Serverless exactly doesn’t mean that there are no servers. It just means that we don’t need to provision and maintain them. The Cloud Service Provider takes care of packaging and deployment almost instantaneously.","APIs,DevOps general,RESTful,Web General,serverless",Build Serverless Python Applications using AWS Chalice
Thomas Y. Chen,July 2021,"Machine learning and artificial intelligence have enabled many solutions that tackle real-world problems, from climate change to autonomous vehicle development. However, with any new technology comes novel issues to address, and in the consideration of machine learning, a recurring concern is the interpretability of the models. Particularly, this refers to the ability of humans, and especially end users of the technology, to understand how the model came to its decision. One way of opening up “black box models” (algorithms that are relatively uninterpretable) that are trained on imagery (computer vision models) is to create saliency maps that are qualitative, visual representations of which parts of each image had the most influence in the deep learning model’s prediction for that image. In this talk, we discuss one interesting way of achieving this. After training a convolutional neural network (CNN) using PyTorch on an image dataset (which can be anything, such as ImageNet), we explore using the GradCam repository to create gradient-weighted class activation maps, which harness the CNN and uses the gradients of any target concept, flowing into the final convolutional layer to produce a coarse localization map highlighting important regions in the image for predicting the concept. It is recommended that attendees of this talk are familiar with at least the basics of machine learning, deep learning, and computer vision, but the presentation will not be too technical as to encourage less experienced folks.","Algorithms,Computer Vision,Deep Learning,Machine-Learning",Big Imagery Data Visualization with Gradient-weighted Class Activation Maps
"Marko Ristin,Phillip Schanely,Lauren De bruyn",July 2021,"Good programs are correct programs. Testing is an indispensable tool making sure that the software we produce is correct. The bulk of today’s Python programs are tested using unit tests, on a case-by-case basis. While unit tests are important, thorough tests are tedious to write. A lot of edge cases need to be considered and human errors easily slip in.","Code Analysis,Programming,Software Design,Testing",Automatic Testing of Python Functions Based on Contracts
Ondrej Urban,July 2021,"During my first steps in the field I was promised that machine learning would be automated from the beginning. Unfortunately, once I’ve outsourced looking for the parameters that best matched my data to the machines, I was instead left with having to look for the hyperparameters that define the best model architecture, all by myself. This often ends up being a lengthy manual process. Is there a way to outsource this bit too?","Data Science,Deep Learning,Machine-Learning",Automated Machine Learning With Keras
"Matthias Feurer,Katharina Eggensperger",July 2021,AutoML makes machine learning accessible for everyone!,"Data Science,Machine-Learning,Science,Scientific Libraries (Numpy/Pandas/SciKit/...)",Auto-Sklearn: Automated Machine Learning in Python
Koketso Motse,July 2021,"This talk will cover:,Game development in python,Game design in python,Competitive gaming and esports","Beginners,Game-Development,Python 3",All things esports and competitive gaming and game development in Python
Rabeea Emad,July 2021,"FastAPI is one of the fastest growing Python web frameworks – in part due to its ease of usage and high performance. In this talk, I will teach you how you can rapidly process European covid vaccine popularity data using Fire, place it into Azure Database for Postgres (for free!) and then leverage FastAPI  to serve them through a back-end. Finally, I will launch the backend online through Azure App Service and use Jupyter to visualize the data from the API to answer interesting questions! Come join me and let the adventure begin!","Public Cloud,Web,python","Analyzing COVID Vaccine Popularity in Europe Using FastAPI, Postgres & Azure"
Markus Holtermann,July 2021,"Every other job opening for an IT position mentions Kubernetes. But unless you’ve worked with Kubernetes or seen it in action, you probably only have a vague idea of what it is, what it does and can do, or how to use it. And that’s understandable. It’s this big, abstract, software, that is supposed to “solve all the problems”. In this talk I’ll go through some of the concepts Kubernetes has. We’ll approach these by deploying a Django application, with the intent, that next time somebody asks you, “Do you know Kubernetes?”, you can confidently answer “Yes!”.","DevOps general,Infrastructure,Operations",An Introduction to Kubernetes ☸️
Christoph Dr. Zimmermann,July 2021,"The presentation introduces RedisGears, a novel approach to Python programming on the server side of an open source real-time NoSQL database. ,Ten years in the making, redis has achieved a significant following among the community concerned with ultra-fast processing of NoSQL-based data. ,With the advent of modules a few years back, redis can be further extended to bridge the gap between the comprehensive set of data structures already offered by the server core and application-specific requirements such as graphs, timeseries data or full-text search capabilities. RedisGears is such a module. At its core, it offers a flexible infrastructure allowing the combination of different modules in addition to scheduling, mapping, filtering and other functionality to process data on the server side. In addition, it allows the execution of Python code on server side, yielding an ultra-performant and flexible approach to the implementation of business logic as part of an application code base. ","APIs,NoSQL,Python 3,The Answer to Life the Universe and Everything Else",Adventures in Real-time Python NoSQL-style
Vinayak Mehta,July 2021,"Have you ever wondered why Python is referred to as CPython and what is the Python C-API everyone keeps talking about? Come to this talk and find out! We'll briefly take a look at the C-API, how we can use it to extend Python's functionality, and how we can write Python C extensions using pybind11.","CPython,Development,Packaging,PyPi,Tooling",A Tale Of Python C Extensions And Cross-Platform Wheels
Scott Irwin,July 2021,A Hitchhiker’s Guide to functools,Functional Programming,A Hitchhiker’s Guide to functools
Eyal Kazin,July 2021,"Correlation does not imply causation. It turns out, however, that with some simple ingenious tricks one can unveil causal relationships within standard observational data, without having to resort to expensive random control trials. ","Analytics,Data Science",A Gentle Introduction To Causal Inference
Miki Lombardi,July 2021,In March 2020 the world is completely blocked and people are lining up to shop or to the pharmacy or to buy basic necessities.,"Analytics,Case Study,Data,Development,HTTP",A crowdsourced map for checking supermarket wait times worldwide
Joannah Nanjekye,July 2021,"Python is great but it definitely has faults too. In this talk, I will talk about some of the Python challenges as a language, and the current efforts in the community to alleviate them. I will also talk about how I plan to engage scientists and academics during my time on the PSF board, to highlight some of the research we are working on as a community.","Community,python",Python the Bad Parts
Abigail Dogbe,July 2021,"The use of Python in Africa is widely spread daily. In this talk, I will take you on a journey of what Python means to us in a Pan-African setting, lessons learned from organizing PyCon Africa, the people behind it, challenges we are facing and reflections on what works in our ecosystem.","Community,Conferences and Meet-Ups,python",Python in a world of Pan-Africanism
Kimberly Arcand,July 2021,"Information of our Universe doesn't have to be just a two-dimensional snap shot. We can transform these data to be able to listen, feel, or (virtually) move through cosmic objects.  Listen to the debris from an exploded star, walk through the core of our Milky Way in virtual reality, feel vibrations of a stellar nursery, and experience our universe anew.","Natural Science,Science,Visualization","Our Universe through Sight, Sound & Touch"
Pablo Galindo Salgado,July 2021,"In this talk I will go into some interesting stories of how (C)Python is made. We will go through a journey that will show you how Python is developed, who works on it, interesting battles against the most obscure of bugs and lots of unexpected situations and things to learn and to reflect on.","CPython,python",Nobody expects the Spanish inquisition
David Beazley,July 2021,"While biking through the forest preserve on a dark December morning, I found myself suddenly staring face-to-face with Bambi.  Picking myself off the ground with a broken wrist and an assortment of broken fingers, I embarked on an unexpected journey of discovery.   Then the pandemic hit.   In this talk, I provide a trip report.",math,"No, not typing. Types."
